DiffTime,Value,Description
2.54,1.16,B2t30min
2.54333,1.165,B2t30min
2.54667,1.168,B2t30min
2.55,1.17,B2t30min
2.55333,1.172,B2t30min
2.55667,1.174,B2t30min
2.56,1.174,B2t30min
2.56333,1.174,B2t30min
2.56667,1.174,B2t30min
2.57,1.173,B2t30min
2.57333,1.171,B2t30min
2.57667,1.168,B2t30min
2.58,1.164,B2t30min
2.58333,1.16,B2t30min
2.58667,1.155,B2t30min
2.59,1.148,B2t30min
2.59333,1.141,B2t30min
2.59667,1.134,B2t30min
2.6,1.127,B2t30min
2.60333,1.117,B2t30min
2.60667,1.108,B2t30min
2.61,1.098,B2t30min
2.61333,1.089,B2t30min
2.61667,1.079,B2t30min
2.62,1.069,B2t30min
2.62333,1.058,B2t30min
2.62667,1.047,B2t30min
2.63,1.037,B2t30min
2.63333,1.027,B2t30min
2.63667,1.015,B2t30min
2.64,1.005,B2t30min
2.64333,0.995,B2t30min
2.64667,0.984,B2t30min
2.65,0.972,B2t30min
2.65333,0.96,B2t30min
2.65667,0.948,B2t30min
2.66,0.936,B2t30min
2.66333,0.924,B2t30min
2.66667,0.912,B2t30min
2.67,0.902,B2t30min
2.67333,0.89,B2t30min
2.67667,0.878,B2t30min
2.68,0.866,B2t30min
2.68333,0.854,B2t30min
2.68667,0.842,B2t30min
2.69,0.83,B2t30min
2.69333,0.819,B2t30min
2.69667,0.808,B2t30min
2.7,0.798,B2t30min
2.70333,0.788,B2t30min
2.70667,0.777,B2t30min
2.71,0.767,B2t30min
2.71333,0.757,B2t30min
2.71667,0.747,B2t30min
2.72,0.738,B2t30min
2.72333,0.731,B2t30min
2.72667,0.723,B2t30min
2.73,0.718,B2t30min
2.73333,0.714,B2t30min
2.73667,0.711,B2t30min
2.74,0.711,B2t30min
2.74333,0.711,B2t30min
2.74667,0.711,B2t30min
2.75,0.711,B2t30min
2.75333,0.712,B2t30min
2.75667,0.716,B2t30min
2.76,0.721,B2t30min
2.76333,0.724,B2t30min
2.76667,0.727,B2t30min
2.77,0.729,B2t30min
2.77333,0.731,B2t30min
2.77667,0.732,B2t30min
2.78,0.732,B2t30min
2.78333,0.732,B2t30min
2.78667,0.732,B2t30min
2.79,0.732,B2t30min
2.79333,0.73,B2t30min
2.79667,0.725,B2t30min
2.8,0.72,B2t30min
2.80333,0.714,B2t30min
2.80667,0.707,B2t30min
2.81,0.698,B2t30min
2.81333,0.688,B2t30min
2.81667,0.678,B2t30min
2.82,0.667,B2t30min
2.82333,0.655,B2t30min
2.82667,0.645,B2t30min
2.83,0.634,B2t30min
2.83333,0.621,B2t30min
2.83667,0.607,B2t30min
2.84,0.595,B2t30min
2.84333,0.581,B2t30min
2.84667,0.568,B2t30min
2.85,0.554,B2t30min
2.85333,0.54,B2t30min
2.85667,0.526,B2t30min
2.86,0.512,B2t30min
2.86333,0.498,B2t30min
2.86667,0.484,B2t30min
2.87,0.471,B2t30min
2.87333,0.459,B2t30min
2.87667,0.446,B2t30min
2.88,0.433,B2t30min
2.88333,0.418,B2t30min
2.88667,0.405,B2t30min
2.89,0.391,B2t30min
2.89333,0.378,B2t30min
2.89667,0.365,B2t30min
2.9,0.354,B2t30min
2.90333,0.342,B2t30min
2.90667,0.33,B2t30min
2.91,0.319,B2t30min
2.91333,0.307,B2t30min
2.91667,0.296,B2t30min
2.92,0.285,B2t30min
2.92333,0.274,B2t30min
2.92667,0.264,B2t30min
2.93,0.254,B2t30min
2.93333,0.242,B2t30min
2.93667,0.232,B2t30min
2.94,0.223,B2t30min
2.94333,0.213,B2t30min
2.94667,0.204,B2t30min
2.95,0.195,B2t30min
2.95333,0.186,B2t30min
2.95667,0.178,B2t30min
2.96,0.169,B2t30min
2.96333,0.16,B2t30min
2.96667,0.152,B2t30min
2.97,0.144,B2t30min
2.97333,0.136,B2t30min
2.97667,0.128,B2t30min
2.98,0.122,B2t30min
2.98333,0.115,B2t30min
2.98667,0.108,B2t30min
2.99,0.101,B2t30min
2.99333,0.094,B2t30min
2.99667,0.088,B2t30min
3,0.082,B2t30min
3.00333,0.077,B2t30min
3.00667,0.071,B2t30min
3.01,0.065,B2t30min
3.01333,0.059,B2t30min
3.01667,0.055,B2t30min
3.02,0.051,B2t30min
3.02333,0.047,B2t30min
3.02667,0.043,B2t30min
3.03,0.04,B2t30min
3.03333,0.037,B2t30min
3.03667,0.033,B2t30min
3.04,0.03,B2t30min
3.04333,0.028,B2t30min
3.04667,0.025,B2t30min
3.05,0.023,B2t30min
3.05333,0.02,B2t30min
3.05667,0.018,B2t30min
3.06,0.015,B2t30min
3.06333,0.013,B2t30min
3.06667,0.012,B2t30min
3.07,0.011,B2t30min
3.07333,0.009,B2t30min
3.07667,0.007,B2t30min
3.08,0.005,B2t30min
3.08333,0.003,B2t30min
3.08667,0.001,B2t30min
3.09,0.001,B2t30min
3.09333,0.001,B2t30min
3.09667,-0.001,B2t30min
3.1,-0.003,B2t30min
3.10333,-0.004,B2t30min
3.10667,-0.004,B2t30min
